,accuracy
0,0.2075
1,0.3537
2,0.4332
3,0.4771
4,0.4695
5,0.5001
6,0.5234
7,0.5768
8,0.6029
9,0.6349
10,0.6561
11,0.6762
12,0.6966
13,0.7094
14,0.7246
15,0.7352
16,0.7448
17,0.7589
18,0.7687
19,0.7745
20,0.7855
21,0.791
22,0.8021
23,0.8042
24,0.8106
25,0.8143
26,0.8184
27,0.8257
28,0.8289
29,0.8362
30,0.8398
31,0.8454
32,0.8488
33,0.8516
34,0.8596
35,0.8638
36,0.8688
37,0.8744
38,0.8805
39,0.8843
40,0.8893
41,0.8905
42,0.8955
43,0.8976
44,0.9003
45,0.9033
46,0.9047
47,0.9068
48,0.9091
49,0.9107
