,accuracy
0,0.1245
1,0.245
2,0.3039
3,0.3626
4,0.4263
5,0.4622
6,0.4336
7,0.5024
8,0.4997
9,0.5593
10,0.5834
11,0.5947
12,0.6507
13,0.6507
14,0.6367
15,0.6908
16,0.6947
17,0.734
18,0.7319
19,0.7308
20,0.7546
21,0.7747
22,0.7719
23,0.7668
24,0.7796
25,0.7899
26,0.7977
27,0.7974
28,0.8011
29,0.7892
30,0.802
31,0.8091
32,0.8091
33,0.8119
34,0.8154
35,0.8093
36,0.8162
37,0.8154
38,0.8179
39,0.8301
40,0.8237
41,0.8277
42,0.8317
43,0.8334
44,0.8314
45,0.8354
46,0.8261
47,0.8277
48,0.8246
49,0.8417
50,0.8416
51,0.8402
52,0.8341
53,0.8412
54,0.8441
55,0.8436
56,0.8425
57,0.8466
58,0.8454
59,0.8509
60,0.8491
61,0.8542
62,0.8518
63,0.8516
64,0.8545
65,0.8571
66,0.8602
67,0.8587
68,0.8661
69,0.867
