,accuracy
0,0.1738
1,0.4287
2,0.4863
3,0.5071
4,0.5389
5,0.5694
6,0.5896
7,0.5938
8,0.6114
9,0.6326
10,0.673
11,0.6962
12,0.7126
13,0.7277
14,0.7401
15,0.7535
16,0.7629
17,0.7773
18,0.7845
19,0.792
20,0.8015
21,0.8102
22,0.8177
23,0.8237
24,0.8332
25,0.84
26,0.8473
27,0.8533
28,0.8567
29,0.8628
30,0.8679
31,0.8721
32,0.8764
33,0.8792
34,0.8839
35,0.8874
36,0.8896
37,0.8923
38,0.8936
39,0.8976
40,0.8989
41,0.9011
42,0.9034
43,0.9041
44,0.906
45,0.9081
46,0.9085
47,0.9116
48,0.9113
49,0.9142
50,0.9153
51,0.9165
52,0.9175
53,0.9185
54,0.9198
55,0.9209
56,0.9221
57,0.9234
58,0.9245
59,0.9258
60,0.927
61,0.9282
62,0.9283
63,0.9301
64,0.9297
65,0.9303
66,0.9321
67,0.9327
68,0.9326
69,0.9338
