,accuracy
0,0.1958
1,0.2724
2,0.3511
3,0.4396
4,0.5508
5,0.5375
6,0.5522
7,0.5961
8,0.5822
9,0.6166
10,0.6422
11,0.6294
12,0.6425
13,0.6604
14,0.6667
15,0.6623
16,0.6778
17,0.6978
18,0.6987
19,0.6916
20,0.7325
21,0.7371
22,0.7442
23,0.7338
24,0.737
25,0.763
26,0.7688
27,0.7806
28,0.7703
29,0.7831
30,0.7894
31,0.7789
32,0.7871
33,0.7899
34,0.8074
35,0.8074
36,0.8093
37,0.8193
38,0.8142
39,0.8154
40,0.8126
41,0.8188
42,0.822
43,0.8245
44,0.826
45,0.8269
46,0.8303
47,0.8294
48,0.8287
49,0.8361
50,0.8333
51,0.8389
52,0.843
53,0.8414
54,0.832
55,0.8393
56,0.8393
57,0.837
58,0.8418
59,0.8447
60,0.846
61,0.8466
62,0.8498
63,0.855
64,0.8567
65,0.8536
66,0.8524
67,0.8512
68,0.8506
69,0.8533
