,accuracy
0,0.2367
1,0.3044
2,0.3202
3,0.4288
4,0.3752
5,0.4389
6,0.404
7,0.4663
8,0.4881
9,0.5495
10,0.562
11,0.5335
12,0.5816
13,0.6188
14,0.6398
15,0.6227
16,0.66
17,0.6965
18,0.7298
19,0.696
20,0.7442
21,0.7506
22,0.7806
23,0.7829
24,0.7791
25,0.7863
26,0.8004
27,0.823
28,0.8142
29,0.826
30,0.8314
31,0.8236
32,0.8358
33,0.8326
34,0.8416
35,0.8379
36,0.8446
37,0.8452
38,0.8476
39,0.854
40,0.8542
41,0.8558
42,0.8641
43,0.8604
44,0.8666
45,0.8668
46,0.8742
47,0.8738
48,0.8729
49,0.8765
50,0.8787
51,0.8738
52,0.8804
53,0.8788
54,0.8844
55,0.8857
56,0.8834
57,0.8872
58,0.884
59,0.8861
60,0.8866
61,0.8868
62,0.8926
63,0.8888
64,0.8933
65,0.8926
66,0.8946
67,0.8977
68,0.8973
69,0.896
