,accuracy
0,0.1089
1,0.2345
2,0.3006
3,0.2251
4,0.2885
5,0.3714
6,0.4388
7,0.4384
8,0.4823
9,0.4759
10,0.5362
11,0.5526
12,0.5895
13,0.6264
14,0.6439
15,0.678
16,0.7101
17,0.7149
18,0.7181
19,0.731
20,0.7478
21,0.7373
22,0.7461
23,0.747
24,0.7676
25,0.7678
26,0.7726
27,0.7662
28,0.7861
29,0.7973
30,0.8104
31,0.8078
32,0.8068
33,0.8061
34,0.807
35,0.8079
36,0.8191
37,0.8105
38,0.8237
39,0.8202
40,0.8213
41,0.8306
42,0.8364
43,0.837
44,0.8352
45,0.8377
46,0.8357
47,0.8417
48,0.8438
49,0.8488
50,0.8505
51,0.8494
52,0.8567
53,0.8561
54,0.8583
55,0.8585
56,0.8632
57,0.865
58,0.8634
59,0.8641
60,0.8646
61,0.8689
62,0.8699
63,0.8744
64,0.879
65,0.8784
66,0.8768
67,0.8805
68,0.8798
69,0.8782
