,accuracy
0,0.2636
1,0.3475
2,0.3674
3,0.4673
4,0.5076
5,0.5443
6,0.577
7,0.578
8,0.6103
9,0.6371
10,0.6405
11,0.664
12,0.6789
13,0.6941
14,0.714
15,0.7291
16,0.7439
17,0.7509
18,0.7717
19,0.7814
20,0.7951
21,0.8058
22,0.813
23,0.8223
24,0.8321
25,0.8376
26,0.8467
27,0.8524
28,0.8578
29,0.8616
30,0.8668
31,0.8712
32,0.8752
33,0.8782
34,0.881
35,0.884
36,0.8871
37,0.8892
38,0.8915
39,0.893
40,0.8946
41,0.8978
42,0.8989
43,0.9011
44,0.9032
45,0.9026
46,0.9047
47,0.9066
48,0.907
49,0.9093
50,0.9103
51,0.9116
52,0.9116
53,0.9134
54,0.9149
55,0.9152
56,0.9166
57,0.9171
58,0.9178
59,0.9195
60,0.9212
61,0.9201
62,0.9226
63,0.9234
64,0.9236
65,0.9251
66,0.927
67,0.9276
68,0.9297
69,0.9288
