,accuracy
0,0.1355
1,0.2581
2,0.2822
3,0.4308
4,0.4024
5,0.4985
6,0.5117
7,0.5285
8,0.5537
9,0.5668
10,0.5819
11,0.6006
12,0.6175
13,0.6395
14,0.6541
15,0.6671
16,0.69
17,0.7003
18,0.712
19,0.7286
20,0.7438
21,0.7515
22,0.7625
23,0.7785
24,0.7874
25,0.7909
26,0.804
27,0.8081
28,0.8142
29,0.8196
30,0.8279
31,0.8336
32,0.8392
33,0.8446
34,0.8518
35,0.8547
36,0.8584
37,0.8642
38,0.8672
39,0.871
40,0.8741
41,0.8781
42,0.8798
43,0.8821
44,0.8834
45,0.8873
46,0.8887
47,0.8914
48,0.8922
49,0.8941
50,0.8958
51,0.8972
52,0.8998
53,0.9016
54,0.9026
55,0.9036
56,0.9046
57,0.906
58,0.9055
59,0.9075
60,0.9092
61,0.9095
62,0.9134
63,0.9112
64,0.9134
65,0.9156
66,0.9136
67,0.9168
68,0.918
69,0.918
