,accuracy
0,0.2667
1,0.1997
2,0.2823
3,0.359
4,0.3891
5,0.4893
6,0.5361
7,0.517
8,0.552
9,0.5731
10,0.5777
11,0.5801
12,0.6218
13,0.6069
14,0.6327
15,0.6427
16,0.671
17,0.7002
18,0.6954
19,0.7028
20,0.7068
21,0.7238
22,0.7298
23,0.73
24,0.7345
25,0.7295
26,0.7409
27,0.7393
28,0.7376
29,0.7476
30,0.7501
31,0.7454
32,0.7551
33,0.7577
34,0.7549
35,0.7549
36,0.7642
37,0.7605
38,0.7693
39,0.7685
40,0.7755
41,0.7801
42,0.7836
43,0.7894
44,0.7897
45,0.7871
46,0.7883
47,0.7887
48,0.7852
49,0.7883
50,0.7909
51,0.7939
52,0.796
53,0.796
54,0.7986
55,0.8029
56,0.7978
57,0.8034
58,0.8034
59,0.8072
60,0.8111
61,0.8112
62,0.8106
63,0.8102
64,0.8113
65,0.8098
66,0.8098
67,0.81
68,0.8119
69,0.8127
