,accuracy
0,0.2025
1,0.33
2,0.323
3,0.4502
4,0.4889
5,0.5522
6,0.558
7,0.6088
8,0.6016
9,0.6136
10,0.627
11,0.656
12,0.673
13,0.6824
14,0.7033
15,0.7134
16,0.7178
17,0.7205
18,0.7234
19,0.748
20,0.7444
21,0.7491
22,0.755
23,0.7726
24,0.7634
25,0.7648
26,0.7716
27,0.7807
28,0.7753
29,0.7748
30,0.7877
31,0.7924
32,0.8016
33,0.8066
34,0.802
35,0.8058
36,0.803
37,0.802
38,0.8139
39,0.8248
40,0.8252
41,0.8205
42,0.832
43,0.826
44,0.8295
45,0.834
46,0.835
47,0.8333
48,0.8374
49,0.8433
50,0.8352
51,0.8367
52,0.8391
53,0.8411
54,0.8462
55,0.845
56,0.8459
57,0.8515
58,0.8448
59,0.8488
60,0.8524
61,0.8532
62,0.8551
63,0.8558
64,0.8572
65,0.8585
66,0.8603
67,0.8628
68,0.8607
69,0.8604
