,accuracy
0,0.272
1,0.262
2,0.3049
3,0.38
4,0.341
5,0.3868
6,0.4735
7,0.4895
8,0.5171
9,0.5732
10,0.609
11,0.539
12,0.6096
13,0.6135
14,0.5985
15,0.6273
16,0.6355
17,0.6409
18,0.6412
19,0.6579
20,0.6852
21,0.7167
22,0.7064
23,0.7068
24,0.6754
25,0.7074
26,0.7363
27,0.75
28,0.7481
29,0.7331
30,0.7414
31,0.7416
32,0.7443
33,0.7417
34,0.7402
35,0.7475
36,0.7556
37,0.7521
38,0.7579
39,0.7567
40,0.7615
41,0.7612
42,0.7724
43,0.7706
44,0.7674
45,0.7731
46,0.7686
47,0.7774
48,0.7719
49,0.7806
50,0.7735
51,0.7788
52,0.7829
53,0.7841
54,0.7754
55,0.7849
56,0.7928
57,0.7904
58,0.7866
59,0.7852
60,0.7891
61,0.7832
62,0.7888
63,0.7849
64,0.7878
65,0.7867
66,0.7889
67,0.7764
68,0.7921
69,0.7902
