,accuracy
0,0.1158
1,0.2055
2,0.3018
3,0.318
4,0.3976
5,0.4374
6,0.4854
7,0.5267
8,0.5562
9,0.5938
10,0.6525
11,0.6898
12,0.7136
13,0.7312
14,0.7444
15,0.7588
16,0.7691
17,0.7808
18,0.7926
19,0.8026
20,0.8061
21,0.8154
22,0.8204
23,0.8291
24,0.8357
25,0.8421
26,0.8462
27,0.8513
28,0.8551
29,0.8585
30,0.8634
31,0.8693
32,0.8707
33,0.8762
34,0.8817
35,0.8849
36,0.8882
37,0.8916
38,0.8932
39,0.8971
40,0.8999
41,0.9007
42,0.9029
43,0.9044
44,0.905
45,0.9079
46,0.909
47,0.9105
48,0.9123
49,0.9137
50,0.9147
51,0.9154
52,0.917
53,0.9178
54,0.9182
55,0.9196
56,0.9202
57,0.9217
58,0.9222
59,0.9226
60,0.9229
61,0.9235
62,0.9249
63,0.9256
64,0.9267
65,0.9272
66,0.928
67,0.9285
68,0.9291
69,0.9298
